iShares ESG MSCI USA Leaders ETF
Inception Date,"May 07, 2019"
Fund Holdings as of,"Nov 27, 2019"
Total Net Assets,"1,694,591,231.98"
Shares Outstanding,"31,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","8.07","152.32","900,567.00","137,174,365.44","137,174,365.44","Information Technology","2588173","US5949181045","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","3.00","1,312.99","38,811.00","50,958,454.89","50,958,454.89","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","2.87","1,312.13","37,188.00","48,795,490.44","48,795,490.44","Communication","BYVY8G0","US02079K3059","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","2.65","137.75","327,664.00","45,135,716.00","45,135,716.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","2.33","184.37","214,412.00","39,531,140.44","39,531,140.44","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","2.23","121.76","310,711.00","37,832,171.36","37,832,171.36","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","1.99","151.48","223,646.00","33,877,896.08","33,877,896.08","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.92","291.70","112,087.00","32,695,777.90","32,695,777.90","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.89","58.51","550,007.00","32,180,909.57","32,180,909.57","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.82","60.10","513,498.00","30,861,229.80","30,861,229.80","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.78","223.00","135,968.00","30,320,864.00","30,320,864.00","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.64","87.61","317,880.00","27,849,466.80","27,849,466.80","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.60","53.95","504,336.00","27,208,927.20","27,208,927.20","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.39","135.91","173,587.00","23,592,209.17","23,592,209.17","Consumer Staples","2681511","US7134481081","NASDAQ"
"ADBE","ADOBE INC","Equity","1.10","309.06","60,270.00","18,627,046.20","18,627,046.20","Information Technology","2008154","US00724F1012","NASDAQ"
"MCD","MCDONALDS CORP","Equity","1.09","196.30","94,288.00","18,508,734.40","18,508,734.40","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","1.03","234.54","74,458.00","17,463,379.32","17,463,379.32","Health Care","2023607","US0311621009","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.99","57.60","291,077.00","16,766,035.20","16,766,035.20","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.98","161.51","103,438.00","16,706,271.38","16,706,271.38","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.95","88.33","183,558.00","16,213,678.14","16,213,678.14","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.94","201.25","79,103.00","15,919,478.75","15,919,478.75","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.92","218.24","71,829.00","15,675,960.96","15,675,960.96","Information Technology","2379504","US67066G1040","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.91","177.19","87,470.00","15,498,809.30","15,498,809.30","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.87","133.77","109,984.00","14,712,559.68","14,712,559.68","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.86","94.14","155,424.00","14,631,615.36","14,631,615.36","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.83","121.73","115,913.00","14,110,089.49","14,110,089.49","Information Technology","2885409","US8825081040","NASDAQ"
"LIN","LINDE PLC","Equity","0.81","206.00","67,118.00","13,826,308.00","13,826,308.00","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.75","85.77","148,614.00","12,746,622.78","12,746,622.78","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"MMM","3M","Equity","0.72","170.61","71,422.00","12,185,307.42","12,185,307.42","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.69","214.91","54,960.00","11,811,453.60","11,811,453.60","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.67","118.46","96,346.00","11,413,147.16","11,413,147.16","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.66","60.19","185,865.00","11,187,214.35","11,187,214.35","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.62","67.12","157,236.00","10,553,680.32","10,553,680.32","Health Care","2369174","US3755581036","NASDAQ"
"AXP","AMERICAN EXPRESS","Equity","0.62","120.33","87,555.00","10,535,493.15","10,535,493.15","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.61","119.87","86,700.00","10,392,729.00","10,392,729.00","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
